Date,Open,High,Low,Close,Volume,Amount
2020-10-14,36.58,36.58,33.68,36.58,10902237,508904224.00
2020-10-15,35.55,35.83,32.93,32.97,8126836,362670688.00
2020-10-16,31.37,33.58,30.67,32.08,5761341,239760240.00
2020-10-19,31.45,31.97,30.00,30.16,4755371,191779232.00
2020-10-20,29.66,29.96,29.25,29.90,3401723,131528352.00
2020-10-21,29.80,30.78,29.53,30.68,3562230,140736608.00
2020-10-22,30.22,30.39,29.55,29.56,2562511,100144216.00
2020-10-23,29.76,29.77,28.51,28.58,2644083,100931592.00
2020-10-26,28.28,28.85,28.21,28.75,1768637,65997996.00
2020-10-27,28.58,28.94,28.45,28.70,1322037,49516620.00
2020-10-28,28.70,28.79,27.96,28.48,1808875,67055416.00
2020-10-29,27.89,28.23,27.88,27.92,1625163,59641472.00
2020-10-30,27.89,28.49,27.74,27.80,1818527,66850036.00
2020-11-02,27.68,27.94,26.23,26.65,2600879,91182648.00
2020-11-03,26.69,27.30,26.56,27.07,1616017,57008984.00
2020-11-04,27.11,27.49,26.96,27.17,1448834,51626124.00
2020-11-05,27.17,27.68,27.17,27.59,1430509,51481268.00
2020-11-06,27.44,27.55,26.93,27.06,1499561,53243292.00
2020-11-09,27.15,28.27,27.15,28.22,2457384,89903288.00
2020-11-10,28.24,28.92,27.69,28.22,2055245,76105832.00
2020-11-11,28.20,29.01,27.97,28.77,2982846,111744232.00
2020-11-12,28.51,28.73,27.84,28.33,1863848,68785464.00
2020-11-13,28.01,28.17,27.74,28.09,1084434,39639736.00
2020-11-16,28.09,29.66,27.79,29.66,3809551,144809776.00
2020-11-17,29.50,29.80,28.96,29.58,2858874,109966824.00
2020-11-18,29.39,30.96,29.09,30.63,4325370,169537152.00
2020-11-19,30.56,30.89,29.29,29.39,3814172,149610896.00
2020-11-20,29.14,29.50,28.59,28.92,2644230,100112632.00
2020-11-23,28.92,28.94,28.39,28.82,1418959,53273744.00
2020-11-24,28.72,28.89,28.44,28.58,1355537,50669272.00
2020-11-25,28.65,28.91,28.00,28.53,2104588,78490224.00
2020-11-26,28.46,28.72,28.13,28.31,1163763,43293944.00
2020-11-27,28.25,28.96,28.04,28.89,1883782,70244648.00
2020-11-30,28.96,30.43,28.95,30.00,4555781,177387248.00
2020-12-01,29.75,29.76,29.12,29.15,3623564,139041184.00
2020-12-02,29.12,30.20,28.65,29.60,3669689,142015040.00
2020-12-03,29.49,30.73,29.02,29.19,2406770,92843736.00
2020-12-04,29.06,29.19,28.48,28.49,1948002,73178272.00
2020-12-07,28.42,28.45,27.89,27.90,1577303,58110232.00
2020-12-08,27.88,28.08,27.69,27.73,984322,35906064.00
2020-12-09,27.73,27.88,27.34,27.36,806580,29191052.00
2020-12-10,27.23,27.82,27.23,27.44,765905,27578716.00
2020-12-11,27.44,27.44,26.61,26.87,1162967,40968800.00
2020-12-14,26.82,26.99,26.59,26.76,644960,22629964.00
2020-12-15,26.84,26.84,26.41,26.51,980272,34159468.00
2020-12-16,26.54,26.82,26.34,26.56,733758,25533524.00
2020-12-17,26.55,26.55,25.81,26.29,996541,34117984.00
2020-12-18,26.29,26.32,25.54,25.56,1020518,34595272.00
2020-12-21,25.54,25.55,25.05,25.28,823214,27232418.00
2020-12-22,25.28,25.51,24.71,24.71,999223,32879934.00
2020-12-23,24.63,24.82,23.72,23.99,1518577,48102896.00
2020-12-24,24.06,24.30,23.10,23.19,1166069,36092020.00
2020-12-25,23.27,23.69,23.18,23.55,841510,25887724.00
2020-12-28,23.50,23.81,23.01,23.03,820680,25137440.00
2020-12-29,22.93,23.23,22.88,23.10,744963,22507074.00
2020-12-30,23.10,23.74,22.95,23.48,770161,23624754.00
2020-12-31,23.52,23.80,23.39,23.55,731033,22611750.00
2021-01-04,23.47,24.01,23.46,23.82,788778,24623920.00
2021-01-05,23.82,23.93,23.45,23.59,852942,26386188.00
2021-01-06,23.59,23.64,23.07,23.12,748125,22831600.00
2021-01-07,23.16,23.21,21.85,21.87,1281076,37572172.00
2021-01-08,21.85,22.17,21.03,21.94,803448,22873484.00
2021-01-11,22.02,22.08,21.25,21.25,632078,17917532.00
2021-01-12,21.26,21.70,21.18,21.50,583259,16387352.00
2021-01-13,21.43,21.56,20.58,20.65,896311,24571172.00
2021-01-14,20.63,21.12,20.31,20.90,756867,20648176.00
