Date,Open,High,Low,Close,Volume,Amount
2019-10-30,8.35,8.35,7.97,7.97,273352206,2320616192.00
2019-10-31,7.40,8.02,7.21,7.65,286873194,2286077440.00
2019-11-01,7.42,7.62,7.35,7.43,169178856,1336825856.00
2019-11-04,7.36,7.47,7.21,7.24,163286018,1266693760.00
2019-11-05,7.24,7.33,7.06,7.23,155242120,1184345728.00
2019-11-06,7.18,7.18,7.00,7.02,123989409,934589632.00
2019-11-07,7.01,7.15,7.01,7.05,84315250,634838528.00
2019-11-08,7.11,7.11,6.98,6.99,76684802,573972864.00
2019-11-11,6.95,6.95,6.73,6.74,96130522,700986880.00
2019-11-12,6.73,6.77,6.57,6.65,78603149,557485888.00
2019-11-13,6.62,6.63,6.48,6.48,79494890,556249920.00
2019-11-14,6.45,6.82,6.38,6.69,132649980,933603520.00
2019-11-15,6.60,6.69,6.48,6.50,75373286,529075392.00
2019-11-18,6.47,6.57,6.43,6.49,52198773,363056992.00
2019-11-19,6.49,6.61,6.47,6.58,60798673,425813632.00
2019-11-20,6.57,6.59,6.48,6.50,53353413,371981312.00
2019-11-21,6.47,6.51,6.45,6.47,38309325,265244736.00
2019-11-22,6.48,6.52,6.42,6.44,44143188,305350592.00
2019-11-25,6.45,6.57,6.43,6.53,58494718,406964224.00
2019-11-26,6.49,6.57,6.48,6.49,58493478,407453664.00
2019-11-27,6.46,6.46,6.31,6.32,78532533,535419264.00
2019-11-28,6.31,6.34,6.22,6.23,54337509,364736320.00
2019-11-29,6.22,6.27,6.18,6.20,38415104,255866976.00
2019-12-02,6.20,6.22,6.15,6.16,38975255,258548224.00
2019-12-03,6.14,6.14,6.08,6.13,35171494,230697680.00
2019-12-04,6.10,6.17,6.08,6.12,27595711,181464528.00
2019-12-05,6.13,6.22,6.11,6.19,44929135,296670176.00
2019-12-06,6.17,6.18,6.13,6.16,32992191,217770928.00
2019-12-09,6.17,6.20,6.15,6.19,36380642,241221184.00
2019-12-10,6.16,6.17,6.11,6.13,46394793,305170016.00
2019-12-11,6.11,6.16,6.10,6.13,36041933,237129088.00
2019-12-12,6.12,6.12,6.03,6.04,50280000,328011424.00
2019-12-13,6.06,6.13,6.04,6.12,63340372,414155040.00
2019-12-16,6.11,6.12,6.07,6.12,48747165,319083776.00
2019-12-17,6.13,6.62,6.11,6.47,210316973,1437600256.00
2019-12-18,6.40,6.48,6.33,6.38,115566078,791161728.00
2019-12-19,6.37,6.53,6.36,6.41,84184780,579540352.00
2019-12-20,6.40,6.58,6.38,6.47,107211390,743212800.00
2019-12-23,6.44,6.47,6.26,6.28,72555358,495364384.00
2019-12-24,6.31,6.33,6.23,6.29,40218262,270327104.00
2019-12-25,6.28,6.29,6.23,6.25,38453679,257601104.00
2019-12-26,6.25,6.28,6.22,6.28,38165577,255462864.00
2019-12-27,6.27,6.39,6.25,6.27,61412867,415148096.00
2019-12-30,6.21,6.26,6.11,6.26,58655101,389765024.00
2019-12-31,6.24,6.30,6.21,6.25,34065257,228308976.00
2020-01-02,6.36,6.41,6.31,6.32,76451217,519608800.00
2020-01-03,6.34,6.34,6.29,6.32,43983730,297443424.00
2020-01-06,6.30,6.35,6.26,6.30,48413073,326749056.00
2020-01-07,6.31,6.35,6.29,6.35,50340570,341134560.00
2020-01-08,6.33,6.33,6.23,6.24,54109459,364122848.00
2020-01-09,6.27,6.30,6.26,6.27,32001768,215216480.00
2020-01-10,6.29,6.30,6.24,6.27,25141739,168831424.00
2020-01-13,6.25,6.26,6.21,6.26,26902542,179832624.00
2020-01-14,6.26,6.27,6.24,6.24,23968022,160677776.00
2020-01-15,6.24,6.24,6.19,6.19,25931000,172642832.00
2020-01-16,6.21,6.21,6.15,6.15,24209600,160226864.00
2020-01-17,6.15,6.18,6.15,6.15,17877400,118202344.00
2020-01-20,6.15,6.17,6.13,6.17,20822800,137543792.00
2020-01-21,6.18,6.18,6.10,6.10,26792307,176235024.00
2020-01-22,6.10,6.11,6.06,6.08,25762907,168290096.00
2020-01-23,6.07,6.08,5.88,5.94,44223900,285122368.00
2020-02-03,5.30,5.34,5.30,5.30,46665200,268612320.00
2020-02-04,5.14,5.36,5.14,5.26,47944035,274029632.00
2020-02-05,5.25,5.37,5.22,5.30,49903200,287029248.00
2020-02-06,5.30,5.39,5.26,5.34,50614300,292072224.00
2020-02-07,5.32,5.32,5.26,5.31,38002400,218100592.00
2020-02-10,5.28,5.34,5.25,5.33,34237000,196809456.00
2020-02-11,5.34,5.47,5.32,5.40,52110100,304820448.00
2020-02-12,5.37,5.42,5.35,5.42,33596900,196059744.00
2020-02-13,5.40,5.42,5.32,5.32,35954800,208902224.00
2020-02-14,5.30,5.37,5.30,5.35,26501500,153275936.00
2020-02-17,5.35,5.53,5.34,5.52,68243300,401712896.00
2020-02-18,5.48,5.51,5.45,5.48,44289400,262387248.00
2020-02-19,5.47,5.52,5.45,5.46,37545500,222794960.00
2020-02-20,5.49,5.65,5.46,5.63,76516700,459717568.00
2020-02-21,5.58,5.65,5.57,5.60,52481100,317394560.00
2020-02-24,5.58,5.59,5.52,5.53,41740700,250149648.00
2020-02-25,5.45,5.45,5.32,5.41,56892700,332851328.00
2020-02-26,5.35,5.56,5.31,5.46,59803500,354230112.00
2020-02-27,5.48,5.54,5.44,5.51,44006400,260972512.00
2020-02-28,5.42,5.45,5.29,5.29,56263200,327142272.00
2020-03-02,5.31,5.42,5.30,5.41,41665282,242493536.00
2020-03-03,5.44,5.47,5.40,5.43,40318900,237301920.00
2020-03-04,5.39,5.43,5.37,5.43,29086400,170073888.00
2020-03-05,5.46,5.71,5.44,5.68,132274700,799500928.00
2020-03-06,5.59,5.62,5.55,5.56,65112500,392612928.00
2020-03-09,5.48,5.49,5.38,5.39,50003600,294122368.00
2020-03-10,5.32,5.43,5.31,5.42,46505100,270879488.00
2020-03-11,5.42,5.46,5.38,5.38,31033700,181957776.00
2020-03-12,5.37,5.45,5.33,5.35,35586500,207296656.00
2020-03-13,5.17,5.36,5.11,5.36,46310500,263231568.00
2020-03-16,5.36,5.36,5.20,5.20,38075277,218431968.00
2020-03-17,5.21,5.25,5.09,5.15,30213921,169382240.00
2020-03-18,5.18,5.20,5.05,5.06,27371632,152820208.00
2020-03-19,5.05,5.06,4.90,4.96,33389900,181264768.00
2020-03-20,4.99,5.01,4.95,4.99,21027433,114235728.00
2020-03-23,4.91,4.91,4.80,4.81,23909329,127052160.00
2020-03-24,4.87,4.90,4.82,4.87,16679599,88650352.00
2020-03-25,4.95,4.99,4.92,4.98,27331262,147656320.00
2020-03-26,4.95,5.02,4.93,4.96,23828307,128997736.00
2020-03-27,4.99,5.02,4.94,4.94,22455408,121873504.00
2020-03-30,4.88,4.88,4.82,4.85,20052877,106167128.00
2020-03-31,4.88,4.89,4.83,4.84,12510927,66378040.00
2020-04-01,4.85,4.90,4.83,4.83,14884817,79057848.00
2020-04-02,4.81,4.88,4.80,4.88,13555941,71676280.00
2020-04-03,4.87,4.89,4.84,4.85,12378671,65745364.00
2020-04-07,4.93,4.94,4.89,4.91,18320826,98229464.00
2020-04-08,4.88,4.91,4.88,4.89,10092883,53963632.00
2020-04-09,4.92,4.92,4.90,4.91,10828111,57992532.00
2020-04-10,4.91,4.91,4.84,4.85,15647234,83259056.00
2020-04-13,4.83,4.84,4.81,4.81,10285438,54171844.00
2020-04-14,4.81,4.85,4.81,4.84,9163055,48392880.00
2020-04-15,4.84,4.86,4.82,4.82,10196009,53872920.00
2020-04-16,4.81,4.84,4.80,4.83,10766357,56733164.00
2020-04-17,4.84,4.85,4.82,4.83,11251179,59468552.00
2020-04-20,4.83,4.84,4.81,4.83,7879094,41532304.00
2020-04-21,4.82,4.82,4.77,4.78,15701340,82288864.00
2020-04-22,4.77,4.78,4.75,4.77,10410311,54268020.00
2020-04-23,4.77,4.78,4.76,4.77,9120995,47618500.00
2020-04-24,4.75,4.77,4.69,4.69,15575755,80555280.00
2020-04-27,4.68,4.84,4.68,4.78,28758597,150645008.00
2020-04-28,4.76,4.78,4.62,4.68,19753604,101539032.00
2020-04-29,4.67,4.75,4.66,4.71,15089310,77926456.00
2020-04-30,4.53,4.58,4.45,4.57,137385222,682889792.00
2020-05-06,4.52,4.54,4.49,4.54,47948773,238092496.00
2020-05-07,4.53,4.53,4.50,4.51,26458429,131296840.00
2020-05-08,4.52,4.54,4.50,4.52,32598668,162045680.00
2020-05-11,4.52,4.54,4.51,4.52,24187999,120217832.00
2020-05-12,4.51,4.52,4.48,4.49,25304671,125054912.00
2020-05-13,4.47,4.49,4.46,4.48,20254171,99711912.00
2020-05-14,4.47,4.49,4.45,4.47,22309894,109620512.00
2020-05-15,4.48,4.49,4.45,4.45,18509394,90973656.00
2020-05-18,4.47,4.47,4.43,4.45,19055408,93449776.00
2020-05-19,4.47,4.48,4.45,4.46,17089308,83965440.00
2020-05-20,4.45,4.53,4.44,4.48,43992939,216752928.00
2020-05-21,4.47,4.49,4.44,4.44,20889955,102522008.00
2020-05-22,4.44,4.44,4.36,4.36,28865809,139951440.00
2020-05-25,4.38,4.43,4.37,4.38,22386148,108551424.00
2020-05-26,4.37,4.41,4.37,4.40,16914213,81845832.00
2020-05-27,4.40,4.43,4.38,4.41,19083943,92758592.00
2020-05-28,4.41,4.47,4.40,4.42,24485500,119546496.00
2020-05-29,4.40,4.41,4.38,4.39,19981387,96768912.00
2020-06-01,4.41,4.46,4.39,4.45,27634865,135039808.00
2020-06-02,4.45,4.51,4.44,4.51,40969327,202329728.00
2020-06-03,4.50,4.56,4.48,4.49,33124951,164585584.00
2020-06-04,4.50,4.51,4.46,4.46,20847339,102598712.00
2020-06-05,4.47,4.49,4.45,4.48,15677431,77107448.00
2020-06-08,4.48,4.51,4.48,4.50,19040750,94208440.00
2020-06-09,4.50,4.52,4.49,4.50,15612414,77383400.00
2020-06-10,4.50,4.50,4.47,4.48,16365556,80669424.00
2020-06-11,4.50,4.53,4.48,4.51,36137401,179211760.00
2020-06-12,4.47,4.52,4.45,4.46,36197561,178743168.00
2020-06-15,4.48,4.52,4.46,4.49,23210637,114689960.00
2020-06-16,4.51,4.52,4.48,4.52,18404752,91245128.00
2020-06-17,4.52,4.55,4.51,4.55,24398141,121430352.00
2020-06-18,4.55,4.57,4.52,4.56,32378150,161660432.00
2020-06-19,4.58,4.58,4.52,4.52,46361845,220829808.00
2020-06-22,4.53,4.55,4.50,4.51,30880606,146421024.00
2020-06-23,4.51,4.51,4.46,4.47,21269217,99974112.00
2020-06-24,4.48,4.57,4.46,4.52,28795839,136540848.00
2020-06-29,4.53,4.54,4.47,4.48,20202990,95327176.00
2020-06-30,4.48,4.52,4.47,4.50,18887657,88925760.00
2020-07-01,4.50,4.55,4.47,4.54,34481292,163310112.00
2020-07-02,4.54,4.72,4.53,4.72,91737280,445781568.00
2020-07-03,4.73,5.07,4.71,4.97,159636530,817401408.00
2020-07-06,5.08,5.49,5.08,5.49,242014964,1345110528.00
2020-07-07,6.06,6.06,5.75,5.76,421306726,2589682176.00
2020-07-08,5.50,5.90,5.39,5.76,307791779,1797593856.00
2020-07-09,5.61,5.75,5.53,5.63,213661816,1246966784.00
2020-07-10,5.54,5.56,5.31,5.34,155474605,880319424.00
2020-07-13,5.27,5.49,5.24,5.42,105387072,589179328.00
2020-07-14,5.40,5.42,5.28,5.33,77448456,430760992.00
2020-07-15,5.34,5.38,5.18,5.20,71370369,390929280.00
2020-07-16,5.18,5.35,5.15,5.15,86523000,473236608.00
2020-07-17,5.16,5.23,5.03,5.07,57462780,306479040.00
2020-07-20,5.12,5.24,5.07,5.22,59545475,321410624.00
2020-07-21,5.21,5.24,5.14,5.16,38699369,208745104.00
2020-07-22,5.15,5.25,5.12,5.16,49992141,270127328.00
2020-07-23,5.13,5.13,4.99,5.04,50037052,263988480.00
2020-07-24,5.04,5.07,4.89,4.89,54336580,281720000.00
2020-07-27,4.89,4.93,4.84,4.88,22385590,113996848.00
2020-07-28,4.89,4.92,4.87,4.90,18343006,93843640.00
2020-07-29,4.88,4.98,4.87,4.98,33033496,170719520.00
2020-07-30,4.96,4.98,4.91,4.93,30422409,157100672.00
2020-07-31,4.91,4.98,4.90,4.93,27706009,142827024.00
2020-08-03,4.96,5.04,4.93,5.04,53202865,277216352.00
2020-08-04,5.06,5.22,5.00,5.12,81909144,437510912.00
2020-08-05,5.07,5.07,4.99,5.03,42082852,220489376.00
2020-08-06,5.03,5.06,4.98,5.03,28040127,146723488.00
2020-08-07,5.01,5.10,4.99,5.03,39018928,205343216.00
2020-08-10,5.02,5.08,4.98,5.05,30610141,161078304.00
2020-08-11,5.04,5.18,5.03,5.05,59351588,317081888.00
2020-08-12,5.00,5.08,4.98,5.03,35925850,188144752.00
2020-08-13,5.03,5.05,5.01,5.02,20376830,106954176.00
2020-08-14,5.01,5.11,4.99,5.09,39669823,209282032.00
2020-08-17,5.11,5.37,5.11,5.30,114569964,627526336.00
2020-08-18,5.27,5.27,5.17,5.21,62222766,337782464.00
2020-08-19,5.18,5.21,5.14,5.14,32976647,178051520.00
2020-08-20,5.12,5.15,5.08,5.08,24960651,133022104.00
2020-08-21,5.13,5.14,5.06,5.10,22025467,117089984.00
2020-08-24,5.08,5.10,5.05,5.07,16526400,87444584.00
2020-08-25,5.08,5.11,5.04,5.05,16903722,89329712.00
2020-08-26,5.04,5.06,4.96,4.97,22775400,118942032.00
2020-08-27,4.97,5.00,4.95,4.98,16012560,83194696.00
2020-08-28,4.99,5.05,4.97,5.04,23134658,121289552.00
2020-08-31,5.05,5.08,4.99,5.00,24917477,131156840.00
2020-09-01,4.98,5.01,4.96,4.99,18246665,94861952.00
2020-09-02,4.99,4.99,4.95,4.95,18394924,95333656.00
2020-09-03,4.95,4.98,4.93,4.93,16088790,83132608.00
2020-09-04,4.90,4.94,4.89,4.93,15250642,78193400.00
2020-09-07,4.92,4.95,4.88,4.89,16935113,87042224.00
2020-09-08,4.89,4.96,4.89,4.95,17505077,90201448.00
2020-09-09,4.92,4.94,4.90,4.91,17099634,87860784.00
2020-09-10,4.94,4.94,4.84,4.85,18872800,96375360.00
2020-09-11,4.84,4.85,4.81,4.83,13525487,68229576.00
2020-09-14,4.84,4.88,4.82,4.85,13235201,67006884.00
2020-09-15,4.85,4.86,4.83,4.84,8898416,45045920.00
2020-09-16,4.84,4.87,4.83,4.84,8737625,44274688.00
2020-09-17,4.83,4.84,4.81,4.82,9914067,50017792.00
2020-09-18,4.82,4.93,4.81,4.93,26513660,135338736.00
2020-09-21,4.94,4.95,4.88,4.88,13900055,71215688.00
2020-09-22,4.86,5.01,4.84,4.88,19261222,98780696.00
2020-09-23,4.89,4.89,4.86,4.87,7549548,38418432.00
2020-09-24,4.86,4.87,4.80,4.81,12529000,63226540.00
2020-09-25,4.81,4.83,4.79,4.80,8127618,40838064.00
2020-09-28,4.80,4.82,4.78,4.79,7425347,37235104.00
2020-09-29,4.80,4.81,4.78,4.78,7243960,36330272.00
2020-09-30,4.78,4.81,4.76,4.77,8844000,44230596.00
2020-10-09,4.78,4.82,4.78,4.81,13861257,69641536.00
2020-10-12,4.81,4.93,4.79,4.90,25543776,130031248.00
2020-10-13,4.88,4.89,4.85,4.86,9736040,49437560.00
2020-10-14,4.87,4.88,4.80,4.82,11513617,58099320.00
2020-10-15,4.83,4.90,4.81,4.83,15724116,79762656.00
2020-10-16,4.84,4.91,4.81,4.89,29983749,153036064.00
2020-10-19,4.91,4.97,4.85,4.86,26654381,136985184.00
2020-10-20,4.84,4.85,4.80,4.83,16887516,85103624.00
2020-10-21,4.82,4.87,4.80,4.87,17472945,88404624.00
2020-10-22,4.85,4.86,4.81,4.82,14932148,75363592.00
2020-10-23,4.82,4.88,4.81,4.84,21325672,108124616.00
2020-10-26,4.83,4.83,4.76,4.76,20879934,104402120.00
2020-10-27,4.76,4.76,4.69,4.70,16130338,79701712.00
2020-10-28,4.72,4.72,4.56,4.58,30173147,146061520.00
2020-10-29,4.54,4.56,4.50,4.53,18734030,88982784.00
2020-10-30,4.29,4.34,4.21,4.25,164628810,739564032.00
2020-11-02,4.22,4.24,4.16,4.18,66060001,291674752.00
2020-11-03,4.18,4.24,4.17,4.22,39972994,177273312.00
2020-11-04,4.24,4.26,4.20,4.22,36607350,162728032.00
2020-11-05,4.23,4.25,4.21,4.24,33908990,150917856.00
2020-11-06,4.24,4.24,4.21,4.23,29427867,130816488.00
2020-11-09,4.23,4.28,4.23,4.26,65140478,291472864.00
2020-11-10,4.27,4.31,4.23,4.24,56878234,255342768.00
2020-11-11,4.23,4.26,4.21,4.24,53264137,237066064.00
2020-11-12,4.23,4.24,4.21,4.22,32359236,143700960.00
2020-11-13,4.21,4.22,4.18,4.20,31356040,138486848.00
2020-11-16,4.21,4.24,4.20,4.23,29388433,130619952.00
2020-11-17,4.23,4.26,4.22,4.25,38488111,171720544.00
2020-11-18,4.25,4.31,4.24,4.29,54518169,245552032.00
2020-11-19,4.28,4.30,4.27,4.28,39558077,178069168.00
