Date,Open,High,Low,Close,Volume,Amount
2021-01-22,59.58,59.58,59.58,59.58,54669,3257179.00
2021-01-25,65.54,65.54,65.54,65.54,56200,3683348.00
2021-01-26,72.09,72.09,72.09,72.09,86303,6221583.00
2021-01-27,79.30,79.30,79.30,79.30,166408,13196154.00
2021-01-28,71.37,71.37,71.37,71.37,727100,51893128.00
2021-01-29,64.23,64.23,64.23,64.23,394100,25313044.00
2021-02-01,58.51,68.50,58.51,63.33,5340600,330591072.00
2021-02-02,59.00,62.70,57.00,57.08,4346890,258347872.00
2021-02-03,55.49,56.24,51.82,52.47,4060046,218825888.00
2021-02-04,52.11,54.58,52.08,52.79,3002678,160076960.00
2021-02-05,51.50,52.99,48.01,48.45,3215846,161017552.00
2021-02-08,48.21,48.97,46.26,46.63,2313758,110005656.00
2021-02-09,46.24,47.47,45.50,46.63,1992383,92343088.00
2021-02-10,46.63,46.91,45.43,45.43,1682195,77309144.00
2021-02-18,45.96,47.68,45.80,47.60,1951249,91591352.00
2021-02-19,47.30,48.56,46.60,48.55,2004306,95526032.00
2021-02-22,48.05,49.25,47.57,47.57,2212741,106980064.00
2021-02-23,47.25,47.49,45.87,46.41,1275043,59217648.00
2021-02-24,46.56,48.43,46.35,47.78,1965334,93298968.00
2021-02-25,47.90,47.90,46.81,46.92,1154649,54390760.00
2021-02-26,46.21,47.10,46.01,47.02,758900,35417000.00
2021-03-01,47.04,47.79,46.76,47.57,961500,45548464.00
2021-03-02,47.60,47.68,46.46,46.82,961300,45025028.00
2021-03-03,46.82,47.14,46.48,47.10,750903,35208520.00
2021-03-04,46.98,46.98,46.31,46.69,870403,40626760.00
2021-03-05,46.35,47.62,46.35,47.60,1004100,47394256.00
2021-03-08,47.78,49.56,47.60,48.54,1956658,95254968.00
2021-03-09,48.35,48.35,46.24,46.40,1327200,62555284.00
2021-03-10,46.80,46.81,44.80,45.15,1228679,56140248.00
2021-03-11,45.11,45.58,44.80,45.54,766986,34760484.00
2021-03-12,45.51,45.51,44.06,44.30,1066229,47401604.00
2021-03-15,44.15,44.15,42.86,43.09,913755,39596656.00
2021-03-16,42.62,43.39,42.62,43.37,545800,23527772.00
2021-03-17,43.30,44.30,42.95,44.18,783832,34337808.00
2021-03-18,44.10,44.52,43.95,44.40,742600,32883940.00
2021-03-19,44.00,45.78,43.79,45.14,1265932,57208164.00
2021-03-22,45.54,46.20,45.01,46.08,1183458,54178928.00
2021-03-23,45.92,46.50,45.30,46.36,1290232,59356824.00
2021-03-24,46.00,46.43,45.60,46.02,773332,35539616.00
2021-03-25,46.19,47.40,46.07,46.62,1398082,65585856.00
2021-03-26,46.35,48.78,46.35,47.83,1786430,85559216.00
2021-03-29,47.85,52.48,47.83,50.03,2208478,110398248.00
2021-03-30,49.69,49.80,47.95,48.68,1542089,74829976.00
2021-03-31,48.00,49.47,47.70,47.76,1227998,59376080.00
2021-04-01,47.36,49.44,46.73,48.85,1426900,68541296.00
2021-04-02,48.77,50.12,48.09,49.99,1783500,87829400.00
2021-04-06,49.60,50.99,49.20,49.77,1287442,64263204.00
2021-04-07,49.55,52.39,49.30,51.58,1965299,100675696.00
2021-04-08,51.60,51.87,49.70,49.72,1619160,82216176.00
2021-04-09,48.28,50.50,48.28,50.45,1373600,67975736.00
2021-04-12,50.43,51.20,49.57,50.80,1424638,71959976.00
2021-04-13,49.51,52.22,48.01,50.94,2725123,137873376.00
2021-04-14,50.50,52.50,49.55,52.49,2511538,128627800.00
2021-04-15,52.10,52.50,49.97,50.67,2202554,112327848.00
2021-04-16,50.11,51.13,49.87,50.09,1156800,58353632.00
2021-04-19,49.90,50.24,49.08,49.79,1534993,76164464.00
2021-04-20,49.88,50.33,48.07,48.20,1675000,82094216.00
2021-04-21,47.70,47.79,46.69,46.96,1293598,60878220.00
2021-04-22,46.90,47.50,46.80,47.48,801098,37784728.00
2021-04-23,47.25,47.26,46.02,46.04,1014000,47323992.00
2021-04-26,45.90,47.18,45.71,46.45,702900,32694726.00
2021-04-27,46.49,46.78,45.99,46.02,622100,28757648.00
2021-04-28,44.98,44.98,42.67,42.97,1718673,74790672.00
2021-04-29,42.85,43.43,42.68,42.84,575429,24748022.00
2021-04-30,42.60,42.77,40.82,41.70,1154600,48240008.00
2021-05-06,41.70,42.00,41.20,41.62,450200,18708220.00
2021-05-07,41.39,41.98,41.33,41.55,425600,17703984.00
2021-05-10,41.56,41.79,41.11,41.33,354100,14663328.00
2021-05-11,41.11,42.18,41.03,42.01,453500,18922504.00
2021-05-12,42.00,42.45,41.65,42.28,397462,16760364.00
2021-05-13,42.27,42.27,41.51,41.59,459295,19250436.00
2021-05-14,41.02,41.94,41.02,41.84,383200,15995277.00
2021-05-17,41.70,41.70,41.06,41.48,436501,18010700.00
2021-05-18,41.56,41.80,41.18,41.64,354473,14714519.00
2021-05-19,41.74,42.17,41.50,41.69,372900,15597259.00
2021-05-20,41.66,42.73,41.19,42.49,1039500,43815740.00
2021-05-21,42.49,42.76,41.80,41.83,646729,27260752.00
2021-05-24,41.50,42.30,41.50,42.12,376500,15792914.00
2021-05-25,41.81,42.52,41.81,42.23,511900,21582740.00
2021-05-26,42.43,43.93,42.10,43.40,997033,43090704.00
2021-05-27,43.66,43.70,43.20,43.22,572600,24845008.00
2021-05-28,43.04,43.56,42.79,43.49,644400,27818872.00
2021-05-31,44.82,45.40,44.00,44.93,1217633,54549004.00
2021-06-01,44.87,45.56,44.10,44.96,943682,42397604.00
2021-06-02,44.97,45.49,44.46,45.21,801395,36132024.00
2021-06-03,45.40,45.88,44.85,44.85,630400,28553776.00
2021-06-04,44.80,44.84,43.52,43.79,770552,33884600.00
2021-06-07,43.79,44.45,43.75,44.21,467900,20664432.00
2021-06-08,44.20,44.89,43.50,44.22,634297,28162732.00
2021-06-09,44.44,44.50,43.74,43.96,411200,18112080.00
2021-06-10,43.96,46.53,43.69,45.93,1420697,64682872.00
2021-06-11,45.85,47.62,45.33,45.45,1386900,64333456.00
2021-06-15,45.81,46.70,44.68,45.85,1130600,51628464.00
