Date,Open,High,Low,Close,Volume,Amount
2012-06-13,3.16,3.48,3.16,3.48,6161379,138606064.00
2012-06-14,3.49,3.80,3.44,3.60,7231692,173660672.00
2012-06-15,3.55,3.88,3.50,3.74,6186584,152714800.00
2012-06-18,3.77,3.94,3.70,3.81,4904601,125826960.00
2012-06-19,3.78,3.94,3.75,3.88,4270363,109942840.00
2012-06-20,3.86,4.28,3.86,4.28,4525323,123361160.00
2012-06-21,4.43,4.69,4.37,4.66,5722925,172803568.00
2012-06-25,4.66,5.13,4.57,5.13,5330077,175244160.00
2012-06-26,5.12,5.64,4.83,5.33,6644896,233918128.00
2012-06-27,5.19,5.55,5.04,5.33,5133443,180050944.00
2012-06-28,5.25,5.32,4.97,4.97,4256315,145643920.00
2012-06-29,4.90,5.33,4.84,5.13,4730144,160820080.00
2012-07-02,5.05,5.65,5.03,5.65,5685736,206584848.00
2012-07-03,5.68,6.22,5.68,6.22,5311860,211759872.00
2012-07-09,5.85,6.37,5.59,6.11,5570169,218772800.00
2012-07-10,5.78,5.91,5.49,5.49,4016732,152123696.00
2012-07-11,5.31,5.44,5.10,5.32,4266665,149046512.00
2012-07-12,5.29,5.86,5.25,5.86,5492679,203474784.00
2012-07-13,5.73,6.35,5.57,5.79,5483750,216823600.00
2012-07-16,5.57,5.58,5.21,5.21,3804236,136557344.00
2012-07-17,4.99,5.53,4.99,5.50,3351704,120785224.00
2012-07-18,5.47,5.47,5.18,5.40,2795738,99199280.00
2012-07-19,5.34,5.65,5.34,5.43,3154206,116016248.00
2012-07-20,5.35,5.35,5.16,5.23,2773651,96788408.00
2012-07-23,5.09,5.36,5.02,5.15,2496194,87096728.00
2012-07-24,5.12,5.34,4.96,5.32,2933775,100679368.00
2012-07-25,5.25,5.85,5.22,5.85,5231206,195069072.00
2012-07-26,5.79,6.45,5.71,6.45,6443684,266414544.00
2012-08-02,6.08,6.41,5.98,6.24,4096533,168896928.00
2012-08-03,6.19,6.58,6.01,6.14,4458765,186105632.00
2012-08-06,5.95,6.39,5.88,6.20,3696730,150666480.00
2012-08-07,6.11,6.25,5.88,5.95,4204383,167745728.00
2012-08-08,5.87,6.55,5.78,6.55,5898161,245926000.00
2012-08-09,6.61,6.61,6.22,6.36,4927371,209567968.00
2012-08-10,6.23,6.51,6.14,6.18,3109202,130411592.00
2012-08-13,6.05,6.30,6.02,6.12,2117957,87063784.00
2012-08-14,6.12,6.21,5.62,5.95,2358307,92426064.00
2012-08-15,5.83,6.20,5.77,5.88,2303673,92633936.00
2012-08-16,5.94,5.98,5.65,5.70,1891664,72773392.00
2012-08-17,5.64,5.73,5.39,5.52,1914958,70323920.00
2012-08-20,5.47,5.52,5.18,5.48,2015917,72106184.00
2012-08-21,5.47,6.00,5.43,5.91,3408746,130458888.00
2012-08-22,5.90,5.90,5.60,5.63,2367181,90127368.00
2012-08-23,5.58,5.73,5.56,5.59,1443290,54170552.00
2012-08-24,5.51,5.56,5.31,5.31,1812533,65162628.00
2012-08-27,5.23,5.48,5.19,5.31,1139567,40681816.00
2012-08-28,5.25,5.81,5.25,5.62,2905465,107643448.00
2012-08-29,5.55,5.85,5.52,5.55,2652233,100711704.00
2012-08-30,5.46,5.78,5.08,5.67,2799556,101749040.00
2012-08-31,5.61,6.23,5.58,5.98,4649687,185646656.00
2012-09-03,5.85,6.17,5.78,6.10,3111948,124370952.00
2012-09-04,6.02,6.20,5.93,5.99,2591231,104198888.00
2012-09-05,5.99,6.06,5.74,5.80,2211374,86547888.00
2012-09-06,5.70,5.88,5.57,5.64,2247856,85357288.00
2012-09-07,5.67,5.88,5.63,5.78,2388808,91560880.00
