Date,Open,High,Low,Close,Volume,Amount
2017-12-14,15.68,15.68,15.68,15.68,14602,446383.13
2017-12-15,17.50,17.50,17.50,17.50,24885,836882.56
2017-12-18,19.50,19.50,19.50,19.50,32395,1198291.00
2017-12-19,21.70,21.70,21.70,21.70,99222,4037343.25
2017-12-20,24.12,24.12,24.12,24.12,130822,5855592.50
2017-12-21,26.79,26.79,26.79,26.79,305646,15050009.00
2017-12-22,29.72,29.72,29.72,29.72,431387,23363920.00
2017-12-25,32.94,32.94,32.94,32.94,501199,29861436.00
2017-12-26,36.49,36.49,36.49,36.49,427280,28003932.00
2017-12-27,40.39,40.39,40.39,40.39,516917,37264548.00
2017-12-28,44.68,44.68,44.68,44.68,2982907,236544528.00
2017-12-29,49.26,49.40,47.24,49.40,44805613,3872659712.00
2018-01-04,49.40,54.59,48.73,54.59,27274110,2536362240.00
2018-01-05,57.90,59.09,52.60,52.72,32529340,3152738048.00
2018-01-08,54.59,58.19,53.48,56.41,27813970,2706073856.00
2018-01-09,54.98,55.48,52.28,52.38,22943895,2160253696.00
2018-01-10,51.10,55.72,51.06,54.03,22434182,2126406016.00
2018-01-11,53.16,58.49,52.84,54.68,26530546,2586440704.00
2018-01-12,54.03,57.00,53.45,53.45,21183371,2052320384.00
2018-01-15,54.20,55.15,47.86,47.90,26354980,2385099264.00
2018-01-16,46.29,47.78,45.31,46.38,19495805,1602897280.00
2018-01-17,46.88,49.07,45.76,47.36,17334683,1455976192.00
2018-01-18,46.29,46.72,44.98,45.04,14981758,1213874176.00
2018-01-19,45.68,47.09,45.10,45.92,13310938,1084904192.00
2018-01-22,44.38,44.48,41.07,41.17,17952857,1345809536.00
2018-01-23,41.20,45.51,40.53,44.83,20172740,1541526272.00
2018-01-24,43.79,46.76,43.79,44.85,16932150,1355822464.00
2018-01-25,44.33,47.78,44.04,44.95,15853668,1299569664.00
2018-01-26,45.00,46.29,44.38,45.16,9478596,761298304.00
2018-01-29,45.81,47.24,45.40,45.89,11591864,949732096.00
2018-01-30,45.15,45.15,42.06,43.19,13517132,1044092288.00
2018-01-31,42.72,42.93,38.62,38.73,15495948,1107911936.00
2018-02-01,39.09,40.01,37.90,39.00,10272231,719788096.00
2018-02-02,37.98,39.33,37.07,37.85,8318225,569641024.00
2018-02-05,36.13,38.04,35.88,36.35,7751011,512581760.00
2018-02-06,34.98,36.72,33.83,33.83,9433245,599993088.00
2018-02-07,35.28,36.76,32.35,35.69,12766493,800274048.00
2018-02-08,35.10,37.16,35.06,36.51,10833376,706591040.00
2018-02-09,34.97,36.68,33.94,35.15,10217529,652218432.00
2018-02-12,35.62,36.84,35.62,35.89,10087054,656409792.00
2018-02-13,36.20,36.33,33.88,33.91,9842696,620309184.00
2018-02-14,34.12,34.79,33.62,33.79,5994707,369830880.00
2018-02-22,34.26,35.32,33.56,35.19,7470919,468127072.00
2018-02-23,35.26,38.97,34.98,38.97,12182674,799319808.00
2018-02-26,40.34,41.51,39.50,41.02,17381708,1258228608.00
2018-02-27,42.12,43.01,40.68,40.75,15913126,1179286784.00
2018-02-28,39.72,41.43,39.45,39.74,11457226,824774848.00
2018-03-01,39.15,41.81,39.09,41.12,11683494,847134464.00
2018-03-02,40.51,41.23,39.44,39.59,9869278,707055040.00
2018-03-05,40.32,43.81,40.07,43.81,18050413,1360745728.00
2018-03-06,45.13,45.65,43.01,43.45,18588452,1466226944.00
2018-03-07,43.03,45.38,42.54,43.97,14386978,1130412800.00
2018-03-08,44.03,44.85,43.51,44.62,11450572,899604416.00
2018-03-09,44.66,46.70,44.22,45.63,15123569,1217710720.00
2018-03-12,46.29,47.47,45.22,45.99,14730554,1205974656.00
2018-03-13,44.78,44.78,42.50,42.55,15708874,1218663936.00
2018-03-14,42.48,42.99,41.78,41.85,8087806,611323648.00
2018-03-15,41.23,41.80,39.56,41.57,10683161,778723456.00
2018-03-16,41.50,42.36,40.85,40.86,6564862,487034912.00
2018-03-19,40.69,43.04,40.55,42.21,9485905,712357888.00
2018-03-20,41.47,43.00,41.25,42.97,8666456,655799104.00
2018-03-21,43.34,44.73,40.60,41.06,11410484,872666688.00
